key,companies,profit
373,Twentieth Century Fox Film Corporation,320448145
374,Mayer (MGM),0
374,Goldwyn,0
374,Metro,0
375,JVC Entertainment Networks,74646581
375,Signature Pictures,74646581
375,Largo Entertainment,74646581
375,Dark Horse Entertainment,74646581
375,Renaissance Pictures,74646581
375,Universal Pictures,74646581
376,Lightstorm Entertainment,263882411
376,Twentieth Century Fox Film Corporation,263882411
377,Touchstone Pictures,50021959
378,Columbia Pictures,0
379,Paragon Entertainment Corp.,-37948000
379,Kasdan Pictures,-37948000
379,Warner Bros.,-37948000
379,Tig Productions,-37948000
380,Tool Shed Productions,0
380,Touchstone Pictures,0
381,"",0
382,PolyGram Filmed Entertainment,0
382,Gramercy Pictures,0
383,Hollywood Pictures,19392418
383,Caravan Pictures,19392418
384,"",0
385,"",0
386,Eve Productions Inc.,-45000
387,"",13851521
388,Tara,0
388,Lumen Films,0
388,Bolex Brothers,0
389,Capcom,64423521
389,Universal Pictures,64423521
390,Snowback Productions,0
390,Polygram Filmed Entertainment,0
390,Motion Picture Corporation of America (MPCA),0
390,Propaganda Films,0
391,"",0
392,Bates Entertainmant,0
392,Capitol Films,0
392,Live Entertainment,0
393,Devin Entertainment,0
393,Pix Entertainment,0
393,A,0
394,Theodore Thomas Productions,0
394,Walt Disney Pictures,0
395,Overseas FilmGroup,0
396,Arrow,0
396,Skyline Entertainment Partners,0
397,"",0
398,Frozen Rope Productions Inc.,0
398,Home Box Office (HBO),0
399,"",0
400,"",0
401,Fallingcloud,10800000
401,Lumière Pictures,10800000
401,Initial Groupe,10800000
401,Film,10800000
401,Trans,10800000
402,"",0
403,New Line Cinema,946600
404,New Line Cinema,0
405,New Line Cinema,0
406,"",0
407,HBO Independent Productions,0
408,Columbia Pictures,-1744560
409,Robert Simonds Productions,0
409,Island World,0
409,Twentieth Century Fox Film Corporation,0
410,Longview Entertainment,3931500
410,NBB Unit One Film Partners,3931500
410,Nomura Babcock & Brown,3931500
410,Interscope Communications,3931500
410,PolyGram Filmed Entertainment,3931500
410,Hollywood Pictures,3931500
411,Touchstone Pictures,0
412,"Ruddy Morgan Organization, The",15240435
412,Twentieth Century Fox Film Corporation,15240435
413,Barcelona Films,-3200000
413,Castle Rock Entertainment,-3200000
413,Fine Line Features,-3200000
414,Fujisankei,-40000000
414,NatWest Ventures,-40000000
414,BSB,-40000000
414,Enigma Productions,-40000000
414,Warner Bros.,-40000000
415,Twentieth Century Fox Film Corporation,0
416,Eddie Murphy Productions,69208989
416,Paramount Pictures,69208989
417,Warner Bros.,0
418,"",0
419,Mayer (MGM),30156002
419,Goldwyn,30156002
419,Metro,30156002
419,Trilogy Entertainment Group,30156002
420,Paramount Pictures,0
421,Heathrow Productions,0
421,Orion Pictures Corporation,0
422,Robert H. Solo Productions,-12571132
422,Dorset Productions,-12571132
422,Warner Bros.,-12571132
423,Mainline Pictures,1796389
424,Savoy Pictures,-4712102
424,HBO Films,-4712102
425,Touchstone Pictures,3662459
426,Parkway Productions,-10429855
426,Columbia Pictures,-10429855
427,Bregman/Baer Productions,6516012
427,Epic Productions,6516012
427,Universal Pictures,6516012
428,Castle Rock Entertainment,0
428,Columbia Pictures,0
429,Mayer (MGM),7355425
429,Goldwyn,7355425
429,Metro,7355425
430,Pioneer,185000211
430,Cliffhanger Productions,185000211
430,RCS Video,185000211
430,Carolco Pictures,185000211
430,Canal+,185000211
430,TriStar Pictures,185000211
431,"",0
432,Cinergi Pictures Entertainment,-20273950
432,Hollywood Pictures,-20273950
433,TriStar Pictures,0
434,Universal Pictures,0
434,Imagine Entertainment,0
435,Pentamerica,0
435,Eye Productions,0
435,Cecchi Gori Europa N.V.,0
435,Maverick Picture Company,0
435,Mayer (MGM),0
435,Goldwyn,0
435,Metro,0
436,Northern Lights Entertainment,63000000
436,Warner Bros.,63000000
436,Donner Productions,63000000
436,Donner/Shuler,63000000
437,The Criterion Collection,1093039
437,Alphaville Productions,1093039
437,Gramercy Pictures,1093039
438,Warner Bros.,102055768
438,Silver Pictures,102055768
439,"",0
440,Fine Line Features,-8000000
441,Mayer (MGM),0
441,Goldwyn,0
441,Metro,0
442,"",0
443,Nelson Entertainment,0
443,Orion Pictures,0
444,Warner Bros.,0
444,Spring Creek Productions,0
445,"",0
446,Warner Bros.,0
446,Spring Creek Productions,0
447,Mirage,9488998
447,Spring Creek Productions,9488998
447,Paramount Pictures,9488998
448,Fine Line Features,0
449,Imagine Entertainment,-18853730
449,Universal Studios,-18853730
450,Davis Entertainment,228248367
450,Mirage Enterprises,228248367
450,Paramount Pictures,228248367
451,Donner Productions,133698625
451,Donner/Shuler,133698625
451,Warner Bros.,133698625
451,Alcor Films,133698625
451,Regency Enterprises,133698625
451,Canal Plus,133698625
452,Miramax Films,0
453,Warner Bros.,324875760
454,Columbia Pictures,-16364380
455,"",0
456,Mayer (MGM),-30000000
456,Goldwyn,-30000000
456,Metro,-30000000
457,KPVI,0
457,Islet,0
457,Can I Watch,0
457,The Samuel Goldwyn Company,0
457,Killer Films,0
